iter	Passed	Remaining
806	5930	2888
807	5936	2880
808	5943	2872
809	5950	2864
810	5957	2857
811	5963	2849
812	5970	2841
813	5976	2834
814	5983	2826
815	5990	2818
816	5996	2811
817	6003	2803
818	6010	2795
819	6016	2788
820	6023	2780
821	6029	2772
822	6036	2765
823	6043	2757
824	6049	2749
825	6056	2742
826	6063	2734
827	6069	2727
828	6076	2719
829	6082	2711
830	6090	2704
831	6098	2697
832	6106	2690
833	6114	2683
834	6122	2676
835	6131	2669
836	6139	2662
837	6147	2655
838	6155	2648
839	6164	2641
840	6171	2634
841	6177	2626
842	6184	2619
843	6192	2611
844	6199	2604
845	6206	2597
846	6215	2590
847	6223	2583
848	6230	2575
849	6237	2568
850	6243	2560
851	6250	2553
852	6256	2545
853	6263	2537
854	6270	2530
855	6277	2522
856	6283	2514
857	6290	2507
858	6297	2500
859	6305	2492
860	6312	2485
861	6318	2477
862	6325	2470
863	6333	2462
864	6339	2455
865	6346	2447
866	6353	2440
867	6360	2432
868	6367	2425
869	6374	2417
870	6381	2410
871	6388	2403
872	6395	2395
873	6401	2387
874	6409	2380
875	6416	2373
876	6425	2366
877	6433	2359
878	6441	2352
879	6449	2345
880	6457	2338
881	6465	2330
882	6473	2323
883	6481	2316
884	6489	2309
885	6496	2302
886	6503	2294
887	6510	2287
888	6518	2280
889	6525	2272
890	6532	2265
891	6539	2258
892	6547	2251
893	6555	2243
894	6563	2236
895	6570	2229
896	6576	2221
897	6584	2214
898	6590	2206
899	6597	2199
900	6604	2191
901	6611	2184
902	6617	2176
903	6623	2168
904	6631	2161
905	6638	2154
906	6645	2146
907	6651	2139
908	6657	2131
909	6664	2124
910	6672	2116
911	6679	2109
912	6686	2101
913	6693	2094
914	6700	2087
915	6706	2079
916	6713	2071
917	6720	2064
918	6727	2057
919	6734	2049
920	6741	2042
921	6748	2034
922	6756	2027
923	6765	2020
924	6774	2014
925	6783	2007
926	6791	2000
927	6800	1993
928	6809	1986
929	6817	1979
930	6826	1972
931	6833	1964
932	6840	1957
933	6848	1950
934	6855	1942
935	6862	1935
936	6870	1928
937	6878	1921
938	6886	1914
939	6894	1906
940	6901	1899
941	6908	1892
942	6915	1884
943	6922	1877
944	6929	1869
945	6935	1862
946	6942	1854
947	6949	1847
948	6955	1839
949	6962	1832
950	6969	1824
951	6976	1817
952	6983	1809
953	6989	1802
954	6995	1794
955	7002	1787
956	7010	1780
957	7017	1772
958	7024	1765
959	7031	1757
960	7038	1750
961	7046	1743
962	7053	1735
963	7060	1728
964	7068	1721
965	7074	1713
966	7081	1706
967	7088	1698
968	7096	1691
969	7104	1684
970	7112	1677
971	7120	1670
972	7128	1663
973	7137	1656
974	7145	1649
975	7154	1641
976	7162	1634
977	7170	1627
978	7176	1620
979	7183	1612
980	7190	1605
981	7196	1597
982	7203	1590
983	7210	1582
984	7217	1575
985	7224	1568
986	7232	1560
987	7239	1553
988	7246	1546
989	7253	1538
990	7260	1531
991	7267	1523
992	7274	1516
993	7280	1508
994	7287	1501
995	7294	1493
996	7300	1486
997	7307	1479
998	7314	1471
999	7321	1464
1000	7327	1456
1001	7334	1449
1002	7341	1441
1003	7347	1434
1004	7354	1426
1005	7360	1419
1006	7367	1412
1007	7374	1404
1008	7381	1397
1009	7388	1389
1010	7395	1382
1011	7402	1375
1012	7408	1367
1013	7414	1360
1014	7420	1352
1015	7427	1345
1016	7433	1337
1017	7440	1330
1018	7446	1322
1019	7454	1315
1020	7462	1308
1021	7470	1301
1022	7478	1293
1023	7486	1286
1024	7495	1279
1025	7503	1272
1026	7510	1265
1027	7518	1258
1028	7526	1250
1029	7534	1243
1030	7541	1236
